,NO,SMILES structure,logD,smi
329,A-logD7.4-222,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2)C)cc1N1CC(NC(C1)C)C,0.16,F c 1 c c 2 c ( N ( C = C ( C ( O ) = O ) C 2 = O ) c 2 c c c ( c c 2 ) C ) c c 1 N 1 C C ( N C ( C 1 ) C ) C
330,F-logD7.4-17,OC1=CC=CN(CC(=O)NCCCC)C1=O,0.33,O C 1 = C C = C N ( C C ( = O ) N C C C C ) C 1 = O
331,A-logD7.4-601,Clc1sc2S(=O)(=O)N=C(Nc2c1)NCCC,2.42,Cl c 1 s c 2 S ( = O ) ( = O ) N = C ( N c 2 c 1 ) N C C C
332,B-logD7.4-288,s1c2c(nc1O)c(O)ccc2CCNCCSCCCOCCc1ccc(NS(=O)(=O)c2ccccc2)cc1,3.52,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S C C C O C C c 1 c c c ( N S ( = O ) ( = O ) c 2 c c c c c 2 ) c c 1
333,A-logD7.4-588,O1c2c(OCC1Cc1nccn1CCC)cccc2,2.4,O 1 c 2 c ( O C C 1 C c 1 n c c n 1 C C C ) c c c c 2
334,A-logD7.4-627,O1C(=O)c2c(N=C1N[C@@H]([C@H](CC)C)C(OC)=O)cccc2,2.6,O 1 C ( = O ) c 2 c ( N = C 1 N [C@@H] ( [C@H] ( C C ) C ) C ( O C ) = O ) c c c c 2
335,O-461,O=C1Nc2c(cc([N+](=O)[O-])cc2)C(=NC1)c1ccccc1,2.38,O = C 1 N c 2 c ( c c ( [N+] ( = O ) [O-] ) c c 2 ) C ( = N C 1 ) c 1 c c c c c 1
336,A-logD7.4-149,Fc1cc2c3N(C=C(C(O)=O)C2=O)[C@H](COc3c1N1CCN(CC1)C)C,-0.43,F c 1 c c 2 c 3 N ( C = C ( C ( O ) = O ) C 2 = O ) [C@H] ( C O c 3 c 1 N 1 C C N ( C C 1 ) C ) C
337,A-logD7.4-417,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C#Cc1ccccc1)C,1.4,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C ( C # C c 1 c c c c c 1 ) C
338,O-133,c12c(cccc1)cccc2,3.37,c 12 c ( c c c c 1 ) c c c c 2
339,A-logD7.4-322,O(C)c1ccc(cc1)C[C@H](NC[C@H](O)c1cc(NC=O)c(O)cc1)C,0.79,O ( C ) c 1 c c c ( c c 1 ) C [C@H] ( N C [C@H] ( O ) c 1 c c ( N C = O ) c ( O ) c c 1 ) C
340,A-logD7.4-113,[nH]1cc(c2cc(ccc12)Cc1ncnn1C)CCN(C)C,-0.75,[nH] 1 c c ( c 2 c c ( c c c 12 ) C c 1 n c n n 1 C ) C C N ( C ) C
341,O-579,N(CCC=C1c2c(CCc3c1cccc3)cccc2)(C)C,2.8,N ( C C C = C 1 c 2 c ( C C c 3 c 1 c c c c 3 ) c c c c 2 ) ( C ) C
342,B-logD7.4-79,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCC\N=C(/NC#N)\NC)CC1CCCCC1)Cc1ccccc1,4.4,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( O [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C C \ N = C ( / N C # N ) \ N C ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
343,E-logD7.4-17,Fc1cc(ccc1)-c1nn2c(N=C(C=C2NCCCn2ccnc2)C)c1,3.67,F c 1 c c ( c c c 1 ) - c 1 n n 2 c ( N = C ( C = C 2 N C C C n 2 c c n c 2 ) C ) c 1
344,A-logD7.4-672,O1C(=O)c2c(N=C1NCc1ccccc1)cccc2,2.8,O 1 C ( = O ) c 2 c ( N = C 1 N C c 1 c c c c c 1 ) c c c c 2
345,A-logD7.4-775,S(CC)C=1OC(=O)c2c(N=1)cccc2C,3.6,S ( C C ) C = 1 O C ( = O ) c 2 c ( N = 1 ) c c c c 2 C
346,A-logD7.4-372,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1ccc(cc1)C(OC)=O,1.17,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C c 1 c c c ( c c 1 ) C ( O C ) = O
347,A-logD7.4-393,O1C(=Nc2c(cccc2)C1=O)C,1.3,O 1 C ( = N c 2 c ( c c c c 2 ) C 1 = O ) C
348,O-466,O(C[C@H](O)CNC(C)(C)C)c1ccccc1C1CCCC1,2.06,O ( C [C@H] ( O ) C N C ( C ) ( C ) C ) c 1 c c c c c 1 C 1 C C C C 1
349,F-logD7.4-30,OC=1C(=O)C=CN(CCC(=O)NC)C=1C,-1.1,O C = 1 C ( = O ) C = C N ( C C C ( = O ) N C ) C = 1 C
350,B-logD7.4-93,N(C(Nc1ccccc1C)=N)c1ccccc1C,0.7,N ( C ( N c 1 c c c c c 1 C ) = N ) c 1 c c c c c 1 C
351,O-37,O=C1NC(=O)NC1(c1ccccc1)c1ccccc1,2.34,O = C 1 N C ( = O ) N C 1 ( c 1 c c c c c 1 ) c 1 c c c c c 1
352,A-logD7.4-820,n1-2c(ccc1)C(=Nc1c-2cccc1)C=1CCCCC=1,4.12,n 1-2 c ( c c c 1 ) C ( = N c 1 c -2 c c c c 1 ) C = 1 C C C C C = 1
353,O-221,O=C1CC[C@@]2([C@@H]3[C@H]([C@@H]4CC[C@H](C(=O)CO)[C@]4(C[C@@H]3O)C)CCC2=C1)C,1.89,O = C 1 C C [C@@] 2 ( [C@@H] 3 [C@H] ( [C@@H] 4 C C [C@H] ( C ( = O ) C O ) [C@] 4 ( C [C@@H] 3 O ) C ) C C C 2 = C 1 ) C
354,B-logD7.4-327,s1c2c(nc1O)c(O)ccc2CCN(CCCOCCOCCc1ccccc1)CCC,2.74,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N ( C C C O C C O C C c 1 c c c c c 1 ) C C C
355,F-logD7.4-13,OC1=CC=CN(CC(=O)NCCC)C1=O,-0.24,O C 1 = C C = C N ( C C ( = O ) N C C C ) C 1 = O
356,E-logD7.4-59,o1cc(nc1-c1ccc(cc1)CCCC)CNCCC1N(CCC1)C,4.69,o 1 c c ( n c 1- c 1 c c c ( c c 1 ) C C C C ) C N C C C 1 N ( C C C 1 ) C
357,E-logD7.4-44,O(c1ncccc1/C(=N/O)/NC1CCCCC1)c1ccc(cc1)C,4.32,O ( c 1 n c c c c 1/ C ( = N / O ) / N C 1 C C C C C 1 ) c 1 c c c ( c c 1 ) C
358,A-logD7.4-484,Clc1cc2c(cc(S(=O)(=O)N[C@H]3CCN([C@H](C(=O)N4CCOCC4)C)C3=O)cc2)cc1,1.79,Cl c 1 c c 2 c ( c c ( S ( = O ) ( = O ) N [C@H] 3 C C N ( [C@H] ( C ( = O ) N 4 C C O C C 4 ) C ) C 3 = O ) c c 2 ) c c 1
359,A-logD7.4-93,OC=1C(=O)C=CN(CCC(=O)N(C)C)C=1C,-1.0,O C = 1 C ( = O ) C = C N ( C C C ( = O ) N ( C ) C ) C = 1 C
360,O-63,O1[C@](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)(CO)[C@@H](O)[C@H](O)[C@H]1CO,-3.34,O 1 [C@] ( O [C@H] 2 O [C@H] ( C O ) [C@@H] ( O ) [C@H] ( O ) [C@H] 2 O ) ( C O ) [C@@H] ( O ) [C@H] ( O ) [C@H] 1 C O
361,A-logD7.4-81,Fc1c(C)c(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12,-1.12,F c 1 c ( C ) c ( F ) c c c 1 N 1 C = C ( C ( O ) = O ) C ( = O ) c 2 c c ( F ) c ( N 3 C C N C C 3 ) c c 12
362,C-logD7.4-58,o1cccc1C=CC(=O)N1CCN(CC1)Cc1cc2OCOc2cc1,4.51,o 1 c c c c 1 C = C C ( = O ) N 1 C C N ( C C 1 ) C c 1 c c 2 O C O c 2 c c 1
363,A-logD7.4-732,O1C(=O)c2c(N=C1NC(C)C)cc(cc2)CC,3.2,O 1 C ( = O ) c 2 c ( N = C 1 N C ( C ) C ) c c ( c c 2 ) C C
364,F-logD7.4-52,OC=1C(=O)C=CN(CC)C=1CC,0.25,O C = 1 C ( = O ) C = C N ( C C ) C = 1 C C
365,A-logD7.4-390,O=C(Nc1c(cccc1C)C)C1N(CCCC1)C,1.27,O = C ( N c 1 c ( c c c c 1 C ) C ) C 1 N ( C C C C 1 ) C
366,O-189,s1c(nnc1NS(=O)(=O)c1ccc(N)cc1)C,-1.11,s 1 c ( n n c 1 N S ( = O ) ( = O ) c 1 c c c ( N ) c c 1 ) C
367,E-logD7.4-9,Fc1ccc(N\C(=N/O)\c2ccc(OC)cc2)cc1,3.02,F c 1 c c c ( N \ C ( = N / O ) \ c 2 c c c ( O C ) c c 2 ) c c 1
368,O-354,s1cccc1CC(=O)N[C@@]1(OC)[C@H]2SCC(COC(=O)N)=C(N2C1=O)C(O)=O,-0.6,s 1 c c c c 1 C C ( = O ) N [C@@] 1 ( O C ) [C@H] 2 S C C ( C O C ( = O ) N ) = C ( N 2 C 1 = O ) C ( O ) = O
369,A-logD7.4-433,O=C1N(c2c(cccc2)C(=N[C@H]1NC(=O)Nc1cc(ccc1)CNc1nn[nH]n1)c1ccccc1)C,1.47,O = C 1 N ( c 2 c ( c c c c 2 ) C ( = N [C@H] 1 N C ( = O ) N c 1 c c ( c c c 1 ) C N c 1 n n [nH] n 1 ) c 1 c c c c c 1 ) C
370,A-logD7.4-376,Fc1ccc(cc1)CNC(=O)C(Cc1ccccc1)C(=O)NO,1.2,F c 1 c c c ( c c 1 ) C N C ( = O ) C ( C c 1 c c c c c 1 ) C ( = O ) N O
371,A-logD7.4-236,S(=O)(=O)(Nc1ccc(cc1)Cc1nc(on1)-c1cc2c([nH]cc2CCN)cc1)C,0.25,S ( = O ) ( = O ) ( N c 1 c c c ( c c 1 ) C c 1 n c ( o n 1 ) - c 1 c c 2 c ( [nH] c c 2 C C N ) c c 1 ) C
372,B-logD7.4-359,Fc1cc(NC(=O)Cc2[nH]nc(Nc3ncnc4c3cc(OC)c(OCCCN(CCO)CC)c4)c2)ccc1,2.1,F c 1 c c ( N C ( = O ) C c 2 [nH] n c ( N c 3 n c n c 4 c 3 c c ( O C ) c ( O C C C N ( C C O ) C C ) c 4 ) c 2 ) c c c 1
373,B-logD7.4-199,n1c(N)c2nc(-c3ccccc3)c(nc2nc1N)N,1.21,n 1 c ( N ) c 2 n c ( - c 3 c c c c c 3 ) c ( n c 2 n c 1 N ) N
374,B-logD7.4-336,O(C)c1cc2-n3c(ccc3)C(=Nc2cc1)NCCCNCCCNC1=Nc2c(-n3c1ccc3)cc(OC)cc2,2.58,O ( C ) c 1 c c 2- n 3 c ( c c c 3 ) C ( = N c 2 c c 1 ) N C C C N C C C N C 1 = N c 2 c ( - n 3 c 1 c c c 3 ) c c ( O C ) c c 2
375,A-logD7.4-633,[Tc-]12(SCC[N+]1(CCS2)CCN(CC)CC)(SCc1ccc(OC)cc1)[OH2+],2.61,[Tc-] 12 ( S C C [N+] 1 ( C C S 2 ) C C N ( C C ) C C ) ( S C c 1 c c c ( O C ) c c 1 ) [OH2+]
376,A-logD7.4-853,n1-2c(ccc1)C(=Nc1c-2cccc1)\C=C\c1ccccc1,4.84,n 1-2 c ( c c c 1 ) C ( = N c 1 c -2 c c c c 1 ) \ C = C \ c 1 c c c c c 1
377,A-logD7.4-570,Clc1cc(ccc1Cl)[C@]1(CCC(=O)N(C1)CC1CC1)CCN1CC(N2CCOCC2)C1,2.3,Cl c 1 c c ( c c c 1 Cl ) [C@] 1 ( C C C ( = O ) N ( C 1 ) C C 1 C C 1 ) C C N 1 C C ( N 2 C C O C C 2 ) C 1
378,O-507,O(CCNC[C@H](O)COc1c2c3c([nH]c2ccc1)cccc3)c1ccccc1OC,3.53,O ( C C N C [C@H] ( O ) C O c 1 c 2 c 3 c ( [nH] c 2 c c c 1 ) c c c c 3 ) c 1 c c c c c 1 O C
379,A-logD7.4-317,OC=1C(=O)C=CN(C(C)C)C=1CC,0.73,O C = 1 C ( = O ) C = C N ( C ( C ) C ) C = 1 C C
380,C-logD7.4-27,O=C(NCc1ccccc1)c1n2c(nc1C)C=CC=C2,3.2,O = C ( N C c 1 c c c c c 1 ) c 1 n 2 c ( n c 1 C ) C = C C = C 2
381,B-logD7.4-308,s1c2c(nc1O)c(O)ccc2CCNCCS(=O)(=O)CCCOCCc1nccc2c1cccc2,2.35,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S ( = O ) ( = O ) C C C O C C c 1 n c c c 2 c 1 c c c c 2
382,A-logD7.4-721,Clc1cc(ccc1Cl)[C@@H]1CC[C@H](NC)c2c1cccc2,3.1,Cl c 1 c c ( c c c 1 Cl ) [C@@H] 1 C C [C@H] ( N C ) c 2 c 1 c c c c 2
383,B-logD7.4-324,s1c2c(nc1O)c(O)ccc2CCNCCS(=O)(=O)CCCOC[C@H](C)c1ccccc1,2.32,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S ( = O ) ( = O ) C C C O C [C@H] ( C ) c 1 c c c c c 1
384,A-logD7.4-718,n1-2c(ccc1)C(=Nc1c-2cccc1)C=C,3.08,n 1-2 c ( c c c 1 ) C ( = N c 1 c -2 c c c c 1 ) C = C
385,O-524,O(C(=O)c1ccc(N)cc1)CC,1.9,O ( C ( = O ) c 1 c c c ( N ) c c 1 ) C C
386,O-19,S1[C@H]2N(C(C(O)=O)=C(C1)C)C(=O)[C@H]2NC(=O)[C@H](N)c1ccc(O)cc1,-1.77,S 1 [C@H] 2 N ( C ( C ( O ) = O ) = C ( C 1 ) C ) C ( = O ) [C@H] 2 N C ( = O ) [C@H] ( N ) c 1 c c c ( O ) c c 1
387,B-logD7.4-267,s1c2c(nc1O)c(O)ccc2CCNCCSCCCOCCc1ccccc1,2.86,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S C C C O C C c 1 c c c c c 1
388,B-logD7.4-334,s1c2c(nc1O)c(O)ccc2CCNCCCS(=O)(=O)NCCOCCc1ccc(cc1)C,2.07,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) N C C O C C c 1 c c c ( c c 1 ) C
389,A-logD7.4-813,Clc1cc(Oc2ccccc2)c(N(Cc2ccccc2OC(C)C)C(=O)C)cc1,4.02,Cl c 1 c c ( O c 2 c c c c c 2 ) c ( N ( C c 2 c c c c c 2 O C ( C ) C ) C ( = O ) C ) c c 1
390,A-logD7.4-508,O1CCN(CC1)c1nnc(Nn2c(ccc2C)C)cc1,1.94,O 1 C C N ( C C 1 ) c 1 n n c ( N n 2 c ( c c c 2 C ) C ) c c 1
391,A-logD7.4-178,Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,-0.19,Cl c 1 c c 2 N C N S ( = O ) ( = O ) c 2 c c 1 S ( = O ) ( = O ) N
392,A-logD7.4-759,n1-2c(ccc1)C(=Nc1c-2cccc1)\C=C\C,3.44,n 1-2 c ( c c c 1 ) C ( = N c 1 c -2 c c c c 1 ) \ C = C \ C
393,A-logD7.4-575,O1c2c(OCC1Cc1nccn1CC)cccc2,2.31,O 1 c 2 c ( O C C 1 C c 1 n c c n 1 C C ) c c c c 2
394,C-logD7.4-16,O(N1C(N=C(N=C1N)N)(C)C)CCc1cc2c(cc1)cccc2,2.92,O ( N 1 C ( N = C ( N = C 1 N ) N ) ( C ) C ) C C c 1 c c 2 c ( c c 1 ) c c c c 2
395,O-199,Clc1cc(Cl)ccc1C(OCc1ccc(Cl)cc1)Cn1ccnc1,5.25,Cl c 1 c c ( Cl ) c c c 1 C ( O C c 1 c c c ( Cl ) c c 1 ) C n 1 c c n c 1
396,E-logD7.4-15,O(C)c1ccccc1/C(=N/O)/NC1CCCCC1,3.6,O ( C ) c 1 c c c c c 1/ C ( = N / O ) / N C 1 C C C C C 1
397,E-logD7.4-47,O(c1ccccc1/C(=N/O)/NC1CCCCC1)c1ccccc1,4.43,O ( c 1 c c c c c 1/ C ( = N / O ) / N C 1 C C C C C 1 ) c 1 c c c c c 1
398,O-310,S(=O)(=O)(Nc1ncccn1)c1ccc(N)cc1,-0.6,S ( = O ) ( = O ) ( N c 1 n c c c n 1 ) c 1 c c c ( N ) c c 1
399,B-logD7.4-300,s1c2c(nc1O)c(O)ccc2CCNCCS(=O)(=O)CCCOCCc1ccc(cc1)C(=O)N,1.1,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S ( = O ) ( = O ) C C C O C C c 1 c c c ( c c 1 ) C ( = O ) N
400,A-logD7.4-537,Oc1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1cc2c(CCN(C2)CC(O)=O)cc1,2.1,O c 1 c c ( c c c 1 ) [C@H] ( N 1 C [C@H] ( N ( C [C@@H] 1 C ) C c 1 c c c c c 1 ) C ) c 1 c c 2 c ( C C N ( C 2 ) C C ( O ) = O ) c c 1
401,B-logD7.4-260,s1c2c(nc1O)c(O)ccc2CCNCCCS(=O)(=O)CCOCCc1ccccc1,1.37,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) C C O C C c 1 c c c c c 1
402,E-logD7.4-3,O(C)c1ccc(cc1)/C(=N/O)/Nc1cc(ccc1)C#N,2.41,O ( C ) c 1 c c c ( c c 1 ) / C ( = N / O ) / N c 1 c c ( c c c 1 ) C # N
403,A-logD7.4-399,Clc1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C,1.3,Cl c 1 c 2 n c c c ( c 2 c c c 1 ) - c 1 c 2 c c ( c c c 2 n ( C C ( O ) = O ) c 1 C ) C
404,O-298,Clc1cccc(Cl)c1Nc1ccccc1CC(O)=O,1.3,Cl c 1 c c c c ( Cl ) c 1 N c 1 c c c c c 1 C C ( O ) = O
405,B-logD7.4-268,s1c2c(nc1O)c(O)ccc2CCNCCNS(=O)(=O)CCOCCc1ccccc1,1.56,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C N S ( = O ) ( = O ) C C O C C c 1 c c c c c 1
406,O-229,O(C)c1ccc(cc1)C(=O)c1ccn(c1)CC(O)=O,-0.96,O ( C ) c 1 c c c ( c c 1 ) C ( = O ) c 1 c c n ( c 1 ) C C ( O ) = O
407,B-logD7.4-338,O(C)c1cc2-n3c(ccc3)C(=Nc2cc1)NCCCN(CCCNC1=Nc2c(-n3c1ccc3)cc(OC)cc2)C,3.41,O ( C ) c 1 c c 2- n 3 c ( c c c 3 ) C ( = N c 2 c c 1 ) N C C C N ( C C C N C 1 = N c 2 c ( - n 3 c 1 c c c 3 ) c c ( O C ) c c 2 ) C
408,A-logD7.4-373,Clc1ccc(OCC(O)COC(=O)CCC(=O)\C=C\OC[C@H]2OC(O)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,1.18,Cl c 1 c c c ( O C C ( O ) C O C ( = O ) C C C ( = O ) \ C = C \ O C [C@H] 2 O C ( O ) [C@@H] ( O ) [C@@H] ( O ) [C@@H] 2 O ) c c 1
409,A-logD7.4-517,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)Cc1sc2c(c1)cccc2,2.0,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C c 1 s c 2 c ( c 1 ) c c c c 2
410,A-logD7.4-336,Clc1cc2NC3=C(C(=O)c2cc1)C(=O)N(NC3=O)C(C)c1ccsc1,0.9,Cl c 1 c c 2 N C 3 = C ( C ( = O ) c 2 c c 1 ) C ( = O ) N ( N C 3 = O ) C ( C ) c 1 c c s c 1
411,A-logD7.4-444,O=C1N(c2c(cccc2)C(=N[C@H]1NC(=O)Nc1cc(N(C)c2nn[nH]n2)c(cc1)C)c1ccccc1)C,1.58,O = C 1 N ( c 2 c ( c c c c 2 ) C ( = N [C@H] 1 N C ( = O ) N c 1 c c ( N ( C ) c 2 n n [nH] n 2 ) c ( c c 1 ) C ) c 1 c c c c c 1 ) C
412,A-logD7.4-147,OC=1C(=O)C=CN(CC(OC)OC)C=1C,-0.46,O C = 1 C ( = O ) C = C N ( C C ( O C ) O C ) C = 1 C
413,O-398,Clc1ccccc1C1=NC(O)C(=O)Nc2c1cc(Cl)cc2,2.39,Cl c 1 c c c c c 1 C 1 = N C ( O ) C ( = O ) N c 2 c 1 c c ( Cl ) c c 2
414,A-logD7.4-768,O1CCN(CC1)CCCOc1cc2ncnc(Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,3.5,O 1 C C N ( C C 1 ) C C C O c 1 c c 2 n c n c ( N c 3 c c c ( N C ( = O ) c 4 c c c c c 4 ) c c 3 ) c 2 c c 1 O C
415,A-logD7.4-298,Clc1cccc(C)c1CNC(=O)Nc1ccsc1-c1nc(C(O)=O)c(O)c(O)n1,0.6,Cl c 1 c c c c ( C ) c 1 C N C ( = O ) N c 1 c c s c 1- c 1 n c ( C ( O ) = O ) c ( O ) c ( O ) n 1
416,A-logD7.4-744,O(C)c1cc2c(cc(cc2)CCC(=O)C)cc1,3.3,O ( C ) c 1 c c 2 c ( c c ( c c 2 ) C C C ( = O ) C ) c c 1
417,O-559,Fc1cc(F)ccc1[NH+]1c2nc(N3C[C@@H]4[C@H](C3)C4N)c(F)cc2C([O-])=C(C(O)=O)[CH-]1,0.25,F c 1 c c ( F ) c c c 1 [NH+] 1 c 2 n c ( N 3 C [C@@H] 4 [C@H] ( C 3 ) C 4 N ) c ( F ) c c 2 C ( [O-] ) = C ( C ( O ) = O ) [CH-] 1
418,O-402,Fc1cc2c3[NH+]([C@@H](CCc3c1)C)[CH-]C(C(O)=O)=C2[O-],0.65,F c 1 c c 2 c 3 [NH+] ( [C@@H] ( C C c 3 c 1 ) C ) [CH-] C ( C ( O ) = O ) = C 2 [O-]
419,F-logD7.4-60,OC=1C(=O)C=CN(CCCCCC)C=1CC,2.28,O C = 1 C ( = O ) C = C N ( C C C C C C ) C = 1 C C
420,A-logD7.4-382,S(=O)(=O)(Nc1ccc(cc1)-c1nc(on1)Cc1cc2c([nH]cc2CCN(C)C)cc1)C,1.22,S ( = O ) ( = O ) ( N c 1 c c c ( c c 1 ) - c 1 n c ( o n 1 ) C c 1 c c 2 c ( [nH] c c 2 C C N ( C ) C ) c c 1 ) C
421,B-logD7.4-329,s1c2c(nc1O)c(O)ccc2CCNCCNS(=O)(=O)CCOCCc1cc(cc(c1)C)C,2.59,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C N S ( = O ) ( = O ) C C O C C c 1 c c ( c c ( c 1 ) C ) C
422,E-logD7.4-6,O\N=C(/NC1CCCCC1)\c1cccnc1,2.82,O \ N = C ( / N C 1 C C C C C 1 ) \ c 1 c c c n c 1
423,O-588,O(CCN(C)C)c1ccc(cc1)\C(=C(/CC)\c1ccccc1)\c1ccccc1,4.15,O ( C C N ( C ) C ) c 1 c c c ( c c 1 ) \ C ( = C ( / C C ) \ c 1 c c c c c 1 ) \ c 1 c c c c c 1
424,J-D7.4-12,OC=1C(=O)C=C(N(C)C=1C(O)CC)C,-0.13,O C = 1 C ( = O ) C = C ( N ( C ) C = 1 C ( O ) C C ) C
425,B-logD7.4-19,s1cc(cc1S(=O)(=O)N)C(=O)c1ccc(cc1)CN1CCN(CC1)C,2.3,s 1 c c ( c c 1 S ( = O ) ( = O ) N ) C ( = O ) c 1 c c c ( c c 1 ) C N 1 C C N ( C C 1 ) C
426,A-logD7.4-827,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCN(C)C)CC1CCCCC1)Cc1ccccc1,4.3,O ( C O C ) C 1 C C N ( C C 1 ) C ( = O ) [C@@H] ( O [C@@H] ( C C C C ) C ( = O ) N [C@H] ( [C@@H] ( O ) C [C@@H] ( C ( C ) C ) C ( = O ) N C C N ( C ) C ) C C 1 C C C C C 1 ) C c 1 c c c c c 1
427,B-logD7.4-264,S1c2c(NC1=O)c(O)ccc2CCNCCS(=O)(=O)CCCOCCc1ccccc1,2.51,S 1 c 2 c ( N C 1 = O ) c ( O ) c c c 2 C C N C C S ( = O ) ( = O ) C C C O C C c 1 c c c c c 1
428,A-logD7.4-440,Oc1ccccc1,1.54,O c 1 c c c c c 1
429,A-logD7.4-663,Clc1ccccc1-c1nc(cc2c1cccc2)C(=O)N(C(CC)C)C,2.78,Cl c 1 c c c c c 1- c 1 n c ( c c 2 c 1 c c c c 2 ) C ( = O ) N ( C ( C C ) C ) C
430,A-logD7.4-661,[Tc-]12(SCC[N+]1(CCS2)CC)(Sc1ccc(OC)cc1)[OH2+],2.77,[Tc-] 12 ( S C C [N+] 1 ( C C S 2 ) C C ) ( S c 1 c c c ( O C ) c c 1 ) [OH2+]
431,B-logD7.4-314,s1c2c(nc1O)c(O)ccc2CCNCCS(=O)(=O)CCCOCCc1ncc(cc1)C,1.56,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C S ( = O ) ( = O ) C C C O C C c 1 n c c ( c c 1 ) C
432,E-logD7.4-56,o1cc(nc1-c1ccc(cc1)C)CNC(CCCCC)C,4.66,o 1 c c ( n c 1- c 1 c c c ( c c 1 ) C ) C N C ( C C C C C ) C
433,A-logD7.4-699,[Tc-]12(SCC[N+]1(CCS2)CCN(CC)CC)(Sc1ccc(cc1)CCCC)[OH2+],2.99,[Tc-] 12 ( S C C [N+] 1 ( C C S 2 ) C C N ( C C ) C C ) ( S c 1 c c c ( c c 1 ) C C C C ) [OH2+]
434,A-logD7.4-510,n1nc(Nn2c(ccc2C)C)ccc1N1CCN(CC1)C,1.94,n 1 n c ( N n 2 c ( c c c 2 C ) C ) c c c 1 N 1 C C N ( C C 1 ) C
435,E-logD7.4-5,O\N=C(/CNC1CCCCC1)\c1ccccc1,2.78,O \ N = C ( / C N C 1 C C C C C 1 ) \ c 1 c c c c c 1
436,B-logD7.4-273,s1c2c(nc1O)c(O)ccc2CCNCCCS(=O)(=O)CCNCCOc1ccccc1,0.9,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) C C N C C O c 1 c c c c c 1
437,B-logD7.4-293,s1c2c(nc1O)c(O)ccc2CCNCCCS(=O)(=O)CCOCCCc1ccccc1,2.1,s 1 c 2 c ( n c 1 O ) c ( O ) c c c 2 C C N C C C S ( = O ) ( = O ) C C O C C C c 1 c c c c c 1
438,O-557,O1[C@H](CC)[C@](O)(C)[C@@H](O)[C@@H](C)C(=O)[C@H](C[C@](O)(C)[C@H](O[C@@H]2O[C@@H](C[C@@H](N(C)C)[C@H]2O)C)[C@H](C)[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@](OC)(C2)C)[C@@H](C)C1=O)C,1.14,O 1 [C@H] ( C C ) [C@] ( O ) ( C ) [C@@H] ( O ) [C@@H] ( C ) C ( = O ) [C@H] ( C [C@] ( O ) ( C ) [C@H] ( O [C@@H] 2 O [C@@H] ( C [C@@H] ( N ( C ) C ) [C@H] 2 O ) C ) [C@H] ( C ) [C@H] ( O [C@@H] 2 O [C@H] ( C ) [C@@H] ( O ) [C@@] ( O C ) ( C 2 ) C ) [C@@H] ( C ) C 1 = O ) C
